filename,px,py,pz,qx,qy,qz,qw
YHPFN,0.23860022539540576,-0.5142743593300902,0.30495764650978435,1.5524872254178483,1.077583317161887,-1.0242856992995113,0.39182436180798
KIVCH,0.24537637638008994,-0.4886401112947059,0.22510883506012602,1.8253129791134857,-0.027750702294679047,-0.10945164798981073,0.4953186092800633
VEPVA,0.15172081742781665,-0.45230324511073217,0.31045049410321246,2.2547826798061723,-0.2233174508908363,0.41053153392260927,0.33973285601661013
IGRFS,0.19980929375617082,-0.55277333802095,0.2935777911089116,1.928792178121906,0.23419058050646005,0.40099145598034674,0.4461263508882083
BQHZS,0.1514536472118891,-0.4584546202071083,0.25205185541694547,1.2523153301512775,1.0663506735916024,-0.030111495251436287,0.5517927193840053
DTNKL,0.24767490830377137,-0.5556097517644352,0.2647861333030616,1.6782360378896968,0.5720441771297872,0.19447815125522228,0.5093579969469489
QXDKA,0.24572110967425762,-0.517026877156895,0.2805852811320041,1.4958794538212525,0.40146375515660904,-0.32566977880645315,0.5705763457790192
PYWFP,0.2923672716855625,-0.5392551658000128,0.27201806537775824,1.454768350399446,-0.30014210572512207,-0.8195846327810673,0.5361653977911736
JFCAM,0.2613653120547428,-0.48111327091229306,0.21791698962675038,1.1472239112178486,0.18380387329328698,-0.2763336874656916,0.6835846985798874
SQGFT,0.29309018270659387,-0.4653712921738017,0.17376241201647719,1.3901602770760677,0.1787672758929676,-0.7075086415518576,0.5743550055047774
OCLET,0.36386859740528416,-0.5610727424449642,0.14060155805876542,1.2319431472220714,-0.3834136129672199,-0.28348968113219714,0.6473989495759478
OQWRP,0.36391977691687594,-0.5610568921363229,0.14062044945144667,1.5615837850632168,0.37486805977358856,-1.0179043299403863,0.4724886237551669
EAZYQ,0.23843646594266316,-0.4775383996248597,0.2841992717743569,2.259174452296518,-0.10148896035284947,-0.9353892308612906,0.28861248760341984
IMDFS,0.3461534896547768,-0.5835108008045489,0.18010047710571797,0.8247118526976658,0.2423054677983774,-0.6303002127206521,0.7196238719656598
KWXVD,0.17448987186914366,-0.5591336709294913,0.26375011571268614,2.1112355863601735,-0.19510094335041406,-0.32671980424825026,0.39325704327697086
