id,x,y,z,qx,qy,qz,qw
MSGNV,0.17264592076929408,-0.4824731638279143,0.16821602636518557,1.6847206159350507,0.2516561281432253,0.3478805174003858,0.5232822142554373
JHPPQ,0.2198772752306375,-0.4635547363154754,0.12711174006788514,1.205636490526643,0.09117264646245812,-0.5449781114585064,0.6458952801094987
FQGLK,0.26055850115296897,-0.587155594088073,0.21789333413746717,1.5656581197523878,0.12061937223148754,0.0988250529645177,0.5733536049127367
HFDOV,0.20101956497270698,-0.5656639838287311,0.20986406242518402,1.1051777039682642,0.6495534553647512,-0.33613621793031073,0.6461722102435138
IPCTK,0.22762221279572536,-0.5012356052635933,0.13761625939374142,1.4930364187935108,0.10248723340823818,0.5214947496851187,0.5699400036719194
JFQGK,0.22087927709382996,-0.44476518989340524,0.15943832107733794,1.2195313101178054,0.8369841765633379,-0.3222823993262886,0.5910874773884186
IULIG,0.20736100960453024,-0.4825079104651777,0.1726838858663158,1.3634037188369108,-0.10102345383715525,0.1877545532970892,0.6303456582486352
YXTZL,0.17285585842756432,-0.4128892031662257,0.1690683593727071,1.4141818084451827,0.028773402516233105,0.15132910144338302,0.6179436307303119
RAPJI,0.21310948791880907,-0.5388123385917453,0.21408372353795724,1.5897077415873784,0.5284381023857083,0.4813699431438022,0.5219130835361816
FCPGM,0.1904028137503143,-0.5342026898945487,0.19713214288927017,1.1196024350059839,0.3918740230380384,0.4253395541493321,0.6648502298525882
ZSJMK,0.3088674894458381,-0.563657510377208,0.16312783363128722,1.114266870594027,-0.5245467776531196,-0.63077729015695,0.6292637765453686
DIPFZ,0.3767379331318026,-0.5913496615354897,0.16155289070912612,1.1690968308716583,-0.2114199431012755,-0.35932909406737074,0.6702534590522655
RNDAC,0.30042570480832276,-0.5325083456078754,0.18455479085430895,1.2358584973644997,0.28885319815956517,-0.3350448797869585,0.649805342167127
ULNRY,0.27459503575031025,-0.43838248254931794,0.18223700709989202,1.6930846673936195,0.4102663202108422,-0.7384149619051422,0.47541627885009513
