filename,px,py,pz,qx,qy,qz,qw
CIRVD,0.2086979337062771,-0.5917570899657555,0.32253110865299833,2.046341339607329,0.8600538024514609,0.5194240118833335,0.34768682439588716
YXLIZ,0.19259151975605748,-0.5156113307770629,0.2687494851757137,2.1485204129273123,-0.11355238175782005,1.053556370829147,0.3071131145573941
YAVDR,0.25666848720456337,-0.5312756596363035,0.29742560709687615,1.5919702058194454,0.7796726242049956,-0.506078802997199,0.4907297408130785
IUADZ,0.17171180834026165,-0.48072656224541765,0.24202040024641497,1.6301802855482534,-0.0538099663303647,0.24658668460798966,0.5504253547397513
EOKSF,0.26276216752563936,-0.5222686604868091,0.29161489986408773,1.249788909261293,-0.01416101898147811,-0.4542649860502228,0.6448472026289769
CRRRW,0.3267366019206046,-0.5700067257064351,0.2665764730933817,1.344033743230921,0.14353140129495762,-1.1530750195221333,0.5115259368884829
XWQWU,0.29609140220515623,-0.5280445842065924,0.11367817166501207,1.1989949974342673,0.16555755386511203,-0.4133458398575477,0.6594597989111414
IOHXQ,0.3613838235848667,-0.5821914368823676,0.24910866030021264,1.2873909519423243,-0.09204537885634488,-0.5507740034935248,0.6235652145135421
HOFTK,0.3943195046659579,-0.6445784264990383,0.12309441416268449,1.179660132392389,0.4658049921036509,-0.13656668842925176,0.6604268662616041
TNTFS,0.2068683974771778,-0.488477150533844,0.23059939822462686,1.105535281140783,-0.03131063844521964,-0.1932907497025253,0.7037376216552754
IOMCJ,0.2977008638998193,-0.4533995226462046,0.2012527348792839,1.2594922725041555,-0.46405087327830535,-0.5231988530679949,0.6126536176473812
MWDLM,0.2041053530434342,-0.4930818962375361,0.15599503201172543,1.3397705992442646,0.3659538910748079,-0.024431331080273132,0.6277033669766957
KFLSD,0.1639644831029261,-0.48758548683863595,0.14367335722822552,1.4111746453884437,0.5465175813571342,0.3260554434082553,0.5809255137844154
GPDMB,0.12063424028819457,-0.4277362270678826,0.1575434649996364,1.3808928327428502,0.6847347501377147,0.6458514787048201,0.5438793896297007
MLLQF,0.060641480737967074,-0.5155338558730264,0.19012881300108772,1.1952837973675057,0.7619878988565328,0.7686526278720949,0.5616251907495569
UYYPL,0.08212135323480847,-0.577389205328812,0.23302977777110825,1.9489345120796913,0.00852967619835247,2.3463323629813395,0.044192626104694634
