filename,px,py,pz,rx,ry,rz
BLZYA,0.23753144592368658,-0.6292635688293132,0.2267678029099866,0.6565022180593925,0.9906844592794937,-1.0202757092616512
VNBPC,0.3074381253411001,-0.7373312491013778,0.19019223582309314,0.6391699913198642,0.5463545723417255,-0.7929555991292959
QFBDY,0.1932158719016572,-0.4872674629147826,0.14767071038931961,0.6929776128353924,0.5010793412952863,-0.46257140262258234
CIUOK,0.22627494088372868,-0.4851849510104934,0.15541324175841584,0.9979480239376017,0.37066265258183023,-0.8867063117865592
TJANP,0.20843366806233324,-0.6333725629988043,0.1584676341205118,0.46801695204946253,0.44381358628005013,-0.8636248045166904
SJUYK,0.3502107529516811,-0.6348009869668592,0.17676271169155133,0.07871362549324908,0.5122429450833732,-0.606127084882858
SIIAP,0.12290653666887874,-0.5932172773085704,0.19273080646243299,0.7254375033341217,-0.04757682141231106,-0.1046168927628725
NJMBO,0.07866296675171744,-0.4283020241384552,0.11371710898394499,0.8267768721858327,0.127271889391046,0.27307653907575624
AZSNO,0.24228394391816865,-0.6488214322815806,0.1495472048270349,0.7866966912127843,-0.11994580706864166,0.1053292589050789
PATUQ,0.34083287964430287,-0.7185878744350033,0.19363766646190578,-0.006487081780772815,0.6817274873734591,-0.627377677431175
BUNKM,0.43624849882237693,-0.755373086505307,0.1456327316262953,0.3881114435301557,0.4895331247673175,-0.7615837776131664
TZNSF,0.3114293714508737,-0.8156671576123101,0.14424910668016303,0.511159279409488,0.41006047279803975,-0.9319796793369761
FMEAC,0.1658932865269463,-0.6774437256313217,0.154380923635502,0.29532718749098197,0.30855638621507986,-0.80343578816846
SRNQY,0.12237895191145769,-0.5144663347281012,0.13365214871161268,0.5015098830979501,0.6860987793279418,-0.6234272903189673
BCJTN,0.23708858060580942,-0.5058660661638723,0.1393222616529453,0.7459931132946389,0.5192923215224968,-0.6906367096631705
LSOPX,0.30247901044321635,-0.680955195052177,0.17147661227162464,0.9158174428101332,0.19013323291069054,-1.0067884642904843
GOFAJ,0.2778538858004473,-0.677701550798508,0.18490725856382706,0.20422135791728407,0.6630499680680564,-0.12751348168062776
RRQIC,0.20998246825109684,-0.653282791654343,0.1945768135606641,0.2741156357190039,0.6857854884241653,-0.18054462766584398
GVFTS,0.2707831432965034,-0.6476621124552655,0.1942125859563876,0.7391503429936631,0.09185733767658195,-0.2532260403853844
MXYOV,0.3019704610934586,-0.7656917847206081,0.22134439528782177,0.5762203331173906,0.015448526492522978,-0.6064325235841613
BSBBX,0.27775508526404274,-0.5966077516016001,0.22624111854837084,0.5285311528729356,0.19658670169362344,-0.8316761699488447
XVPRZ,0.27777140941497613,-0.5966038503519905,0.22623465705657247,0.5285272901744823,0.19657875424989507,-0.8316444639603283
