filename,px,py,pz,qx,qy,qz,qw
SKPAI,0.26535208115150966,-0.5019200090870051,0.35074145908459625,2.037611603565812,0.9165689102425999,0.4364929410587693,0.3487847619613014
RLNME,0.2653688408105923,-0.5019147982367276,0.35076522729575205,2.037514972464425,0.916589053916751,0.43649700621465826,0.3488114836840673
WTHSK,0.23891403557372393,-0.46836755395417323,0.2627670197951073,2.474765700609185,0.47635724294771914,0.5897718062784078,0.23657898431971153
UJROX,0.13600083245631506,-0.46177422254835576,0.307039806474972,1.7724266565297773,0.8712131819390802,0.6227076680859979,0.41787981734404606
TCAOC,0.27630776276461,-0.5046688202735864,0.3374784445501846,1.8631917170761465,0.2766803263499083,0.2769677706829229,0.4716935843768344
WDLCW,0.2175780087715573,-0.4128789952209799,0.20411639614517418,1.724842260019163,0.46636992467093524,-0.20503008339835668,0.5047592240056875
YIPQM,0.3520638793650953,-0.5559194239227843,0.13715276979278268,1.5493188228994526,-0.10636886908650461,-0.4240318347884219,0.5624328318510954
HDFTX,0.4562974793364408,-0.580618008176301,0.12062393381334646,1.6408581268795157,0.32139155698101585,-0.7085262818987932,0.49932602851000457
YKPCL,0.27138707998381717,-0.4954031264759834,0.12867495792655326,1.5302920821094872,-0.14192495485931084,-0.4025453084870723,0.5687726777087736
MRFTW,0.19049429119527553,-0.4235503477057329,0.2209763040744458,1.8184558483888285,-0.007497335591622213,0.011300963397501114,0.4985326275036024
KGBUQ,0.1945823522775102,-0.40452127028828544,0.2881862230763071,1.5959048234305284,0.611116929916934,0.44679334983395697,0.5147211082948043
GXNZD,0.264528765278518,-0.5692174533278,0.25071048228360576,1.9027806301556678,0.9794889023191929,0.7545632167913459,0.35129346304826575
MHAOY,0.1864362650471612,-0.566115349209254,0.2620453499447144,1.8876100567239298,0.8690878843080068,0.9112291167714703,0.35133998758786394
TVJKE,0.1771238138332295,-0.6187183132551788,0.3087774148314423,2.2031631814751194,0.7517326228966255,1.037966705504338,0.25138544938611934
LBBZW,0.1358797163497764,-0.4575986940354977,0.1933981587201436,1.807287662070588,0.7696088749580231,0.8675289590560175,0.3925523127322274
SOFBG,0.1022319480881085,-0.5037744275085314,0.24135781331653333,1.4949579671918323,0.6372647033455012,0.5278018965474152,0.5324487321973757
